day,time,snsr_11,snsr_12,snsr_21,snsr_22
0,00:03:32.55,-0.8,2.18,1.03,-1.03
0,00:03:32.57,-0.11,2.41,0.69,-0.92
0,00:03:32.59,1.03,2.07,-0.11,-0.23
0,00:03:32.61,0.69,1.84,0,1.26
0,00:03:32.63,0.46,1.72,1.61,1.95
0,00:03:32.65,0,1.49,1.61,0.92
0,00:03:32.67,-0.57,1.26,0.92,0.23
0,00:03:32.70,0.69,2.07,1.15,0.69
0,00:03:32.72,0.8,2.53,1.72,0.46
0,00:03:32.74,0.8,2.53,0.8,0.46
0,00:03:32.76,0.57,2.64,0.8,0
0,00:03:32.78,0.57,2.41,1.61,0.11
0,00:03:32.80,0,2.3,1.72,-0.92
0,00:03:32.82,0.8,2.41,1.26,-0.57
0,00:03:32.84,1.38,2.07,1.03,-0.11
0,00:03:32.87,1.38,0.92,0.69,1.15
0,00:03:32.89,2.07,1.38,0.34,0.92
0,00:03:32.91,2.07,0.92,0.46,0.8
0,00:03:32.93,0.69,1.49,0.69,0.92
0,00:03:32.95,0.69,1.72,0.34,0.8
0,00:03:32.97,1.38,1.95,1.49,1.38
0,00:03:32.99,-0.69,2.3,1.38,0.69
0,00:03:33.01,0.8,2.18,1.61,0.46
0,00:03:33.03,0.11,2.76,1.72,0.8
0,00:03:33.05,0.34,1.38,1.49,1.15
0,00:03:33.08,0.46,1.95,1.15,1.38
0,00:03:33.10,-0.34,2.41,1.49,2.18
0,00:03:33.12,1.03,2.76,3.33,3.68
0,00:03:33.14,0.8,2.41,2.41,2.07
0,00:03:33.16,1.03,1.38,1.26,-0.69
0,00:03:33.18,1.49,1.38,-1.61,1.26
0,00:03:33.20,0.92,1.95,-0.34,-1.49
0,00:03:33.22,0.8,2.99,1.61,-0.8
0,00:03:33.24,0.92,2.76,0.23,0
0,00:03:33.26,0.92,2.41,0.69,0
0,00:03:33.29,1.03,2.76,0.34,0.69
0,00:03:33.31,0.8,2.64,0.57,0.11
0,00:03:33.33,0.57,2.53,1.49,0
0,00:03:33.35,0.92,1.95,0.57,0.8
0,00:03:33.37,1.03,2.07,0.92,1.38
0,00:03:33.39,0.69,1.72,1.03,1.03
0,00:03:33.41,0.34,1.61,0.92,0.92
0,00:03:33.43,1.15,1.84,0.92,1.26
0,00:03:33.45,1.26,1.95,0.8,0.57
0,00:03:33.47,0.46,2.3,1.49,0.57
0,00:03:33.50,0.92,2.41,1.26,-0.11
0,00:03:33.52,1.03,2.76,1.38,1.03
0,00:03:33.54,1.49,2.53,1.26,1.61
0,00:03:33.56,0.8,2.64,1.03,1.15
0,00:03:33.58,0.92,2.18,0.11,0.92
0,00:03:33.60,1.03,2.07,0.69,1.15
0,00:03:33.62,1.84,2.07,1.49,1.38
0,00:03:33.64,1.61,2.3,1.49,1.15
